ants-1  ,Min01 ,azerty,Assure--essai                              ,Assure--essai                              ,"Paolo, Luigi, Francesco, Gianluca"              ,Male         ,min01@mail.com,612345678,1985-12-02,37000 ,99100,France  ,Mornant                   ,69440,11 bis Rue Henri-IV
ants-12 ,Min12 ,azerty,Benassar Essai                             ,Benassar Essai                             ,"Ilîas, Abdallah, Ylan "                         ,Male         ,min12@mail.com,612345678,1968-05-15,33000 ,99100,France  ,Arnas                     ,69400,"2, square du Souvenir"
ants-13 ,Min13 ,azerty,de carambar de chamallow de mondelise essai,de carambar de chamallow de mondelise essai,"Anne-Françoise, Caroline, Jacqueline, Anastasia",Female       ,min13@mail.com,612345678,1982-02-28,42000 ,99100,France  ,La Salvetat-Belmontet     ,82230,"32, Boulevard de l'eau pétillante"
ants-14 ,Min14 ,azerty,Essai                                      ,Essai                                      ,"Ali, Iliess, Djibril"                           ,Male         ,min14@mail.com,612345678,2005-07-08,39240 ,99100,France  ,Andelot-Morval            ,39320,"135, route de Saint-AJour"
ants-15 ,Min15 ,azerty,Essai                                      ,Essai                                      ,"Noham, Logan"                                   ,Male         ,min15@mail.com,612345678,1967-12-06,39210 ,99100,France  ,Andelot-Morval            ,39320,"175, rue de la reconnaissance de caractères"
ants-16 ,Min16 ,azerty,Essai                                      ,Essai                                      ,"Louka, Maël"                                    ,Male         ,min16@mail.com,612345678,1981-12-08,39110 ,99100,France  ,Andelot-Morval            ,39320,"115, route de Saint-Amour"
ants-17 ,Min17 ,azerty,Essai                                      ,Essai                                      ,"William, Haroun, Rabii"                         ,Male         ,min17@mail.com,612345678,2000-01-20,39350 ,99100,France  ,Andelot-Morval            ,39320,"115, route de Saint-Amour"
ants-18 ,Min18 ,azerty,Essai                                      ,Essai                                      ,"Younès, Abdelmajid, Abdessalam"                 ,Male         ,min18@mail.com,612345678,2008-05-24,39800 ,99100,France  ,Andelot-Morval            ,39320,"78, rue de la république"
ants-19 ,Min19 ,azerty,Essai                                      ,Essai                                      ,"An, Ramiz"                                      ,Male         ,min19@mail.com,612345678,2006-04-13,39290 ,99100,France  ,Andelot-Morval            ,39320,"12, Avenue de la Montagne magique"
ants-20 ,Min20 ,azerty,Essai                                      ,Essai                                      ,"Anaïs, Mïya, Yüna, Bao"                         ,Female       ,min20@mail.com,612345678,1938-05-21,16000 ,99352,France  ,Andelot-blancheville      ,39320,"15, rue Pierre Paul-Jaques"
ants-21 ,Min21 ,azerty,Essai  Spécimen                            ,Essai  Spécimen                            ,"Anaïs, Evelina, Eve"                            ,Female       ,min21@mail.com,612345678,2012-02-06,93120 ,99100,France  ,Saint-Orens-de-Gameville  ,31650,"46, avenue Gameville"
ants-22 ,Min22 ,azerty,Essai Spécimen                             ,Essai Spécimen                             ,"Charlotte, Inaya, Margaux"                      ,Female       ,min22@mail.com,612345678,1992-02-06,29200 ,99100,France  ,La Besseyre-Saint-Mary    ,43170,228 ter Rue de Charlemagne
ants-23 ,Min23 ,azerty,Essai Spécimen                             ,Essai Spécimen                             ,"Jean-François, Abriel, Aedan, Aelig"            ,Male         ,min23@mail.com,612345678,1982-06-08,59300 ,99100,France  ,Val D'anast               ,35330,11 rue de Lohéac Maure de Bretagne
ants-24 ,Min24 ,azerty,Essai Spécimen                             ,Essai Spécimen                             ,"Chems-Eddine, Noureddine, Redouane"             ,Male         ,min24@mail.com,612345678,2017-11-22,10000 ,99100,France  ,Saint-Orens-Pouy-Petit    ,31650,"46, avenue Gameville"
ants-25 ,Min25 ,azerty,Essai Spécimen                             ,Essai Spécimen                             ,"Ouassila, Noura"                                ,Female       ,min25@mail.com,612345678,2018-12-08,64000 ,99100,France  ,Saint-Orens-de-Gameville  ,31650,"146, avenue Gameville"
ants-26 ,Min26 ,azerty,Essai Spécimen                             ,Essai Spécimen                             ,"Radhia, Zoulikha"                               ,Female       ,min26@mail.com,612345678,2015-02-04,38520 ,99100,France  ,Saint-Martin-de-l'If      ,31650,"46, avenue Gameville"
ants-27 ,Min27 ,azerty,Essai -Spécimen                            ,Essai -Spécimen                            ,"Zakaria, Yanice, Anissa"                        ,Female       ,min27@mail.com,612345678,2014-11-09,60240 ,99100,France  ,Saint-Orens-de-Gameville  ,31650,"6, avenue Gameville"
ants-28 ,Min28 ,azerty,Forêtessai                                 ,Jardinessai                                ,"Elizabeth, Victoria, Anne"                      ,Female       ,min28@mail.com,612345678,1975-03-27,27140 ,99100,France  ,Paris                     ,75008,122 Avenue des Champs Elysées
ants-29 ,Min29 ,azerty,Forêtessai                                 ,Forêtessai                                 ,"Adrien, Louis, Jean-François"                   ,Male         ,min29@mail.com,612345678,2005-02-21,75012 ,99100,France  ,Paris                     ,75008,122 Avenue des Champs Elysées
ants-30 ,Min30 ,azerty,FÜRSTENBERGER ESSAI                        ,FÜRSTENBERGER ESSAI                        ,"ingrid, angela, Anja"                           ,Female       ,min30@mail.com,612345678,1988-11-15,80100 ,99100,France  ,Daubeuf-la-Campagne       ,27110,"28, rue Grande"
ants-31 ,Min31 ,azerty,GRATTON ESSAI                              ,GRATTON ESSAI                              ,HELENE                                           ,Female       ,min31@mail.com,612345678,1992-06-04,1200  ,99140,France  ,Le Vivier                 ,66730,"10, rue Principale"
ants-32 ,Min32 ,azerty,GRATTON ESSAI                              ,GRATTON ESSAI                              ,LOUIS                                            ,Male         ,min32@mail.com,612345678,2004-06-08,29200 ,99100,France  ,Le Vivier                 ,66730,"10, rue Principale"
ants-33 ,Min33 ,azerty,GRATTON ESSAI                              ,GRATTON ESSAI                              ,"LOUIS, PIERRE, JEAN, PAUL"                      ,Male         ,min33@mail.com,612345678,2002-07-08,33000 ,99100,France  ,Le Vivier                 ,66730,"10, rue Principale"
ants-34 ,Min34 ,azerty,HORTI ESSAI                                ,HORTI ESSAI                                ,"Hortense, Marie-Caroline"                       ,Female       ,min34@mail.com,612345678,1988-05-21,93240 ,99100,France  ,Saint-albans-des-hurtières,31650,"46, avenue Gameville"
ants-35 ,Min35 ,azerty,JAGUAR ESSAI                               ,Essai  Spécimen                            ,Dominique                                        ,Indeterminate,min35@mail.com,612345678,1956-11-19,93400 ,99100,France  ,Saint-Julien-des-Chazes   ,43330,"110, Rue des marroniers"
ants-36 ,Min36 ,azerty,Jardinessai                                ,Jardinessai                                ,"David, Jean-Michel, Alphonse"                   ,Male         ,min36@mail.com,612345678,1950-01-27,78100 ,99100,France  ,Paris                     ,75008,122 Avenue des Champs Elysées
ants-37 ,Min37 ,azerty,Jardinessai                                ,Jardinessai                                ,"François, Jean-Pierre, Edouard"                 ,Male         ,min37@mail.com,612345678,2001-01-27,1     ,99328,France  ,Paris                     ,75008,186 Boulevard Malesherbes
ants-38 ,Min38 ,azerty,Jessai                                     ,Jessai                                     ,"Fabrice, Peter, Alessandro"                     ,Male         ,min38@mail.com,612345678,1976-06-08,34500 ,99100,France  ,Ville-devant-belrain      ,54710,"18, rue du Château"
ants-39 ,Min39 ,azerty,Jessai                                     ,Jessai                                     ,"Nawel, Alba, Asmahane"                          ,Female       ,min39@mail.com,612345678,1984-11-28,64000 ,99100,France  ,Ville-devant-belrain      ,54710,"18, rue du Château"
ants-40 ,Min40 ,azerty,Jessai                                     ,Mïnutie Essai                              ,"Angelina, Tiana"                                ,Female       ,min40@mail.com,612345678,1985-02-03,11000 ,99100,France  ,Saint-Acheul              ,54710,181 bis rue du Château fort
ants-41 ,Min41 ,azerty,Jessai                                     ,Jessai                                     ,"Hadrien, Matthias"                              ,Male         ,min41@mail.com,612345678,2000-06-05,31000 ,99100,France  ,Ville-devant-Nancy        ,54710,"18, rue du Château"
ants-42 ,Min42 ,azerty,Jessai                                     ,Jessai                                     ,"Zakaria, Aydan, Tylio"                          ,Male         ,min42@mail.com,612345678,2012-02-04,26000 ,99100,France  ,Ville-devant-Nancy        ,54710,48 rue du Château
ants-43 ,Min43 ,azerty,Jessai                                     ,Jessai                                     ,"Yasser, Ilian, Arslane, hubert"                 ,Male         ,min43@mail.com,612345678,2004-09-05,101000,99123,France  ,Chalmaison                ,77650,35 chemin des pâquerettes
ants-44 ,Min44 ,azerty,Jessai                                     ,Jessai                                     ,"Denis, Paul-Henri, Frédéric"                    ,Male         ,min44@mail.com,612345678,2008-03-21,12500 ,99341,France  ,Ville-devant-Nancy        ,54710,"10, rue des roses"
ants-45 ,Min45 ,azerty,JOUTTE ESSAI                               ,JOUTTE ESSAI                               ,Aelig                                            ,Indeterminate,min45@mail.com,612345678,1999-08-02,35000 ,99100,France  ,Villers-Saint-Sépulcre    ,60134,"28, rue de la Place"
ants-46 ,Min46 ,azerty,JYURNT ESSAI                               ,JYURNT ESSAI                               ,"Vladimir, Oleg, Dimitri"                        ,Male         ,min46@mail.com,612345678,1995-03-02,94300 ,99100,France  ,Goyrans                   ,31120,"185, chemin des Crêtes"
ants-47 ,Min47 ,azerty,KANAL ESSAI                                ,KANAL ESSAI                                ,"Salim, Ines"                                    ,Male         ,min47@mail.com,612345678,1968-12-11,92120 ,99100,France  ,Palaminy                  ,31220,"4, rue de Savoie"
ants-48 ,Min48 ,azerty,La Belle Maison Essai                      ,La Belle Maison Essai                      ,"Thomas, Jacques, Paul"                          ,Male         ,min48@mail.com,612345678,1986-09-08,37000 ,99100,France  ,Orléans                   ,45000,"2, allée du grand chemin"
ants-49 ,Min49 ,azerty,Le pont du GARD ESSAI                      ,Le pont du GARD ESSAI                      ,"Antoine, Valentin"                              ,Male         ,min49@mail.com,612345678,2002-10-08,39300 ,99100,France  ,Brainans                  ,39800,26 rue des Ecoles
ants-50 ,Min50 ,azerty,LEOPARDI ESSAI                             ,LEOPARDI ESSAI                             ,"PIERRE-JEAN, ALAIN, JEAN-EMMANUEL"              ,Male         ,min50@mail.com,612345678,1992-06-04,78590 ,99100,France  ,Chalmaison                ,77650,"29, rue Henri-Brugeail"
ants-51 ,Min51 ,azerty,Levoilier-essai                            ,Levoilier-essai                            ,"Tess, Alia, Joy, Jennah"                        ,Female       ,min51@mail.com,612345678,1995-03-02,28000 ,99100,France  ,Aumont                    ,39800,"1, route de Genève"
ants-52 ,Min52 ,azerty,Liilleroubaixessai                         ,Liilleroubaixessai                         ,"Kilian, Robin"                                  ,Male         ,min52@mail.com,612345678,2016-04-14,39570 ,99100,France  ,Barcelonette              ,4400 ,18 avenue Antoine signoret
ants-53 ,Min53 ,azerty,LOIPRITYL ESSAY                            ,LOIPRITYL ESSAY                            ,"VINCENT, ROBERT, TRANXIL"                       ,Male         ,min53@mail.com,612345678,2006-04-13,63000 ,99100,France  ,Château Arnoux St Auban   ,4160 ,200 RUE DES CIGALONS
ants-54 ,Min54 ,azerty,Lyod de la MER Essai                       ,Specimen                                   ,"Timéo, Théo, Ismaël"                            ,Male         ,min54@mail.com,612345678,1978-02-18,39800 ,99100,France  ,Germigney                 ,39380,4 Rue du Val d'Amour
ants-55 ,Min55 ,azerty,Mïnutie Essai                              ,Mïnutie Essai                              ,"Alfred, Albert, Denis"                          ,Male         ,min55@mail.com,612345678,1988-11-15,1600  ,99100,France  ,Digne-les-Bains           ,4070 ,294 rue du casteu
ants-56 ,Min56 ,azerty,Mïnutie Essai                              ,Mïnutie Essai                              ,"Véronique, Sophie, Annabelle"                   ,Female       ,min56@mail.com,612345678,2000-01-12,1260  ,99100,France  ,Haussonville              ,54290,"18, Grande rue"
ants-57 ,Min57 ,azerty,Mïnutie Essai                              ,Mïnutie Essai                              ,"Raphaël, Louis, Martin"                         ,Male         ,min57@mail.com,612345678,1999-08-12,2140  ,99100,France  ,Forcalquier               ,4300 ,5 boulevard de la république
ants-58 ,Min58 ,azerty,Mïnutie Essai                              ,Mïnutie Essai                              ,"Bartosz, Barthelemy, Barnabe"                   ,Male         ,min58@mail.com,612345678,2007-09-01,21610 ,99100,France  ,Greoux-les-bains          ,4800 ,16 rue Mousseline
ants-59 ,Min59 ,azerty,Mïnutie Essai                              ,Mïnutie Essai                              ,Léa                                              ,Female       ,min59@mail.com,612345678,2007-05-13,1800  ,99100,France  ,Mallemoisson              ,4510 ,637 avenue du 14 juillet 1789
ants-60 ,Min60 ,azerty,Mïnutie Essai                              ,Mïnutie Essai                              ,"Manon, Alice"                                   ,Female       ,min60@mail.com,612345678,2008-05-24,24700 ,99100,France  ,Manosque                  ,4100 ,314 montée des Adrechs
ants-61 ,Min61 ,azerty,Mïnutie Essai                              ,Mïnutie Essai                              ,"Rose, Luce, Stella"                             ,Female       ,min61@mail.com,612345678,2004-08-03,46170 ,99100,France  ,Haussonville              ,54290,"38, Grande rue"
ants-62 ,Min62 ,azerty,POLLI ESSAI                                ,POLLI ESSAI                                ,Evelyne                                          ,Female       ,min62@mail.com,612345678,1968-03-02,59200 ,99100,France  ,Delincourt                ,60240,"61, rue de la Vallée"
ants-63 ,Min63 ,azerty,Mondeessai                                 ,Mondeessai                                 ,"Andréa, Safà, Assiya"                           ,Female       ,min63@mail.com,612345678,1968-12-11,51290 ,99100,France  ,Andelot-Morval            ,39320,"115, route de Saint-Amour"
ants-64 ,Min64 ,azerty,PRATJOLOI ESSAI                            ,Essai                                      ,"VERONIQUE, ANNE, JULIE, MARIE-DOMINIQUE"        ,Female       ,min64@mail.com,612345678,1964-11-18,75013 ,99100,France  ,Paris                     ,75017,"112, Boulevard Péreire"
ants-65 ,Min65 ,azerty,Pesteessai                                 ,AGRELLOT                                   ,"Jean, Frédéric, Gérard"                         ,Male         ,min65@mail.com,612345678,1986-01-31,91320 ,99100,France  ,Fontenay-Saint-Père       ,78440,13 chemin de la mairie
ants-66 ,Min66 ,azerty,POULIN ESSAI                               ,POULIN ESSAI                               ,"PETER, JOHN, ROBERT"                            ,Male         ,min66@mail.com,612345678,1962-05-15,92110 ,99100,France  ,Latrape                   ,31310,"35, Grand'rue"
ants-67 ,Min67 ,azerty,PRATJOLOI ESSAI                            ,PRATJOLOI ESSAI                            ,"EDOUARD, JEAN-CHARLES, EUDES"                   ,Male         ,min67@mail.com,612345678,2008-05-24,75011 ,99100,France  ,Calacuccia                ,20224,"1, Avenue Valdoniello"
ants-68 ,Min68 ,azerty,Bristaïnessaî                              ,Bristaïnessaî                              ,Ayoub                                            ,Male         ,min68@mail.com,612345678,1984-12-10,2330  ,99100,France  ,Lavans-Sur-Dole           ,39700,"4 A, rue Saint-Didier"
ants-69 ,Min69 ,azerty,SHAKESPEARE                                ,SHAKESPEARE                                ,"WILLIAM, TEST, SPECIMEN"                        ,Male         ,min69@mail.com,612345678,1964-04-23,CV37  ,99132,France  ,Fontrabiouse              ,66210,8 Boulevard du théâtre
ants-70 ,Min70 ,azerty,Specimen                                   ,Specimen                                   ,"Stéphane, Eric, Gérard"                         ,Male         ,min70@mail.com,612345678,2004-06-18,5300  ,99100,France  ,Germigney                 ,39380,4 Rue du Val d'Amour
ants-71 ,Min71 ,azerty,Specimen                                   ,Specimen                                   ,"Anabelle, Estelle, Viriginie"                   ,Female       ,min71@mail.com,612345678,1989-12-02,1370  ,99100,France  ,Condamine                 ,39570,"456, rue du Centre"
ants-72 ,Min72 ,azerty,Specimen                                   ,Essai                                      ,"Anne-Lucie, Philomène, Dominique"               ,Female       ,min72@mail.com,612345678,2000-01-01,22270 ,99100,France  ,Fontenay-Saint-Père       ,78440,35 rue de la petite vallée
ants-73 ,Min73 ,azerty,Specimen                                   ,Specimen                                   ,"Claude, Dominique, Sophie"                      ,Female       ,min73@mail.com,612345678,1999-12-24,28290 ,99100,France  ,Marly-le-Roy              ,39380,41 Chemin des Maigrets
ants-74 ,Min74 ,azerty,Recofaciale Essai                          ,Recofaciale Essai                          ,"Jessaie, Jeréessaie, Jabandonne"                ,Female       ,min74@mail.com,612345678,1978-04-13,78780 ,99100,France  ,Le Mesnil-le-Roy          ,78600,4 rue des folies
ants-75 ,Min75 ,azerty,Saroule Specimen                           ,Saroule Specimen                           ,"Sophie, Sarah, Emma"                            ,Female       ,min75@mail.com,612345678,2006-08-18,3135  ,99100,France  ,Mantes-la-ville           ,78711,29 rue des meuniers
ants-76 ,Min76 ,azerty,SPECIMÈN à Î Ï Ñ Ò  Ô Õ Ö Ù Ú Û Ü Ý Ÿ Œ AE ,SPECIMÈN à Î Ï Ñ Ò  Ô Õ Ö Ù Ú Û Ü Ý Ÿ Œ AE ,"Ines, Camille, Francesca"                       ,Female       ,min76@mail.com,612345678,2009-10-29,39570 ,99100,France  ,Sainte Tulle              ,4220 ,93 Allée des Micocouliers
ants-77 ,Min77 ,azerty,ARUNDSSENJOHNSJT Specimen                  ,ARUNDSSENJOHNSJT Specimen                  ,"Chloé, Lina, Béatrice, Ölvirgmünda"             ,Female       ,min77@mail.com,612345678,2008-11-09,82110 ,99100,France  ,Viroflay                  ,78686,5 Avenue Gaston Boissier
ants-78 ,Min78 ,azerty,Specimen Öuljstïmî                         ,Specimen Öuljstïmî                         ,"Henry, Charles, Thomas"                         ,Male         ,min78@mail.com,612345678,1962-05-01,82220 ,99100,France  ,Saint-Mesmes              ,78730,117 route de dourdan
ants-79 ,Min79 ,azerty,Choulnistovitchowxa Specimen               ,Choulnistovitchowxa Specimen               ,"Sacha, Noah"                                    ,Male         ,min79@mail.com,612345678,2004-03-02,39150 ,99100,France  ,Saint-Germain-en-Laye     ,78100,33 rue d'Alsace
ants-80 ,Min80 ,azerty,Poytreza Specimen                          ,Poytreza Specimen                          ,"Gabin, Nolan, Louis, Amaury"                    ,Male         ,min80@mail.com,612345678,1987-08-09,66000 ,99100,France  ,Germigney                 ,39380,4 Rue du Val d'Amour
ants-81 ,Min81 ,azerty,SPÉCIMÈN À Â Ã Ä Æ Ç È É Ê Ë               ,J'aime la reco de caractères               ,"Ferdinand, Idriss"                              ,Male         ,min81@mail.com,612345678,2002-04-23,39230 ,99100,France  ,Germigney                 ,39380,4 Rue du Val d'Amour
ants-82 ,Min82 ,azerty,Spécimen Essai                             ,Spécimen Essai                             ,"Alexander, Andrew, Antony"                      ,Male         ,min82@mail.com,612345678,1974-11-21,6000  ,99100,France  ,Triel-sur-Seine           ,78510,4 rue du noyer Godard
ants-83 ,Min83 ,azerty,Spécimen Essai                             ,Spécimen Essai                             ,"Hugo, léo, Pierre, Jean-Marie"                  ,Male         ,min83@mail.com,612345678,1980-05-27,26200 ,99100,France  ,Rambouillet               ,78120,"18, rue de la Pommeraie "
ants-84 ,Min84 ,azerty,Spécimen Essai                             ,Spécimen Essai                             ,"Hugo, léo, Pierre, Jean-Marie"                  ,Male         ,min84@mail.com,612345678,1980-05-27,26200 ,99100,France  ,Rambouillet               ,78120,"18, rue de la Pommeraie "
ants-85 ,Min85 ,azerty,Spécimen Essai                             ,Spécimen Essai                             ,"Winston, Hans-georg, Antoine"                   ,Male         ,min85@mail.com,612345678,2012-05-27,98000 ,99100,France  ,Triel-sur-Seine           ,78510,4 rue du noyer Godard
ants-101,Min101,azerty,"DÈ/LÀRÙÇÄ'  Æ Œ  -- ËVÏT,  Ù"             ,PRINCESSE D'Espagne                        ,ADÈLE                                            ,Male         ,min101@mail.com,612345678,2015-12-31,30000 ,99134,France  ,LEVALLOIS-PERRET          ,92230,5 RUE DE LA VANILLE MADAGASCAR 5L825 101 AVENUE VICTOR HUGO
ants-102,Min102,azerty,VERNAECKT                                  ,VERNAECKT                                  ,JUSTIN                                           ,Male         ,min102@mail.com,612345678,1994-11-23,50000 ,99350,France  ,BORDEAUX                  ,13300,32 TER RUE DE LA BOUGIE
ants-103,Min103,azerty,DEHONSTRATION                              ,ANTS                                       ,"MARIE, CATHERINE"                               ,Female       ,min103@mail.com,612345678,1975-10-07,45340 ,99100,France  ,BORDEAUX                  ,33000,32 TER RUE DE LA BOUGIE
ants-104,Min104,azerty,HELLO                                      ,ANTS                                       ,Gérald                                           ,Female       ,min104@mail.com,612345678,1950-02-10,45340 ,99100,France  ,BORDEAUX                  ,30000,32 TER RUE DE LA BOUGIE
ants-105,Min105,azerty,TRESOR                                     ,RUE                                        ,"AURELIE, JULIENNE"                              ,Female       ,min105@mail.com,612345678,1950-02-10,16000 ,99352,France  ,BORDEAUX                  ,33000,32 TER RUE DE LA BOUGIE
ants-106,Min106,azerty,DUPONT TUTELLE                             ,RENOUV VOL                                 ,JEAN                                             ,Female       ,min106@mail.com,612345678,2001-12-31,92210 ,99100,France  ,LEVALLOIS-PERRET          ,92230,101 AVENUE VICTOR HUGO
ants-107,Min107,azerty,RENOUV                                     ,RENOUV                                     ,PILOU                                            ,Female       ,min107@mail.com,612345678,1975-10-07,45340 ,99100,France  ,BORDEAUX                  ,30000,32 TER RUE DE LA BOUGIE
ants-108,Min108,azerty,CTANA                                      ,YVA                                        ,LORIE                                            ,Female       ,min108@mail.com,612345678,1985-01-11,31000 ,99100,France  ,BORDEAUX                  ,30000,32 TER RUE DE LA BOUGIE
ants-109,Min109,azerty,DE LA MANCHE                               ,DE LA MANCHE                               ,"PASCAL, MARCO,  KILLIAN"                        ,Male         ,min109@mail.com,612345678,1980-01-01,80000 ,99100,France  ,TOULOUSE                  ,31000,RUE DU PARQUET
ants-110,Min110,azerty,DONALD                                     ,DONALD                                     ,DUCKY                                            ,Male         ,min110@mail.com,612345678,1981-02-01,14000 ,99100,France  ,ABANCOURT                 ,31000,RUE DE LA MAISON DE PICSOU ET DO NALD DANS LA MAISON EN H
ants-111,Min111,azerty,DE LA VILLARDIERE                          ,DE LA VILLARDIERE                          ,"BERNADETTE, MARIE, VÉRONIQUE"                   ,Female       ,min111@mail.com,612345678,1980-05-01,64360 ,99100,France  ,PACÉ                      ,31000,RUE DE LA PLUS BELLE COMMUNE DE FRANCE ET D'EUROPE ET DU MONDE
ants-112,Min112,azerty,TESTRECETTETROIS                           ,TESTRECETTETROIS                           ,"JEAN LUC, ROMAIN, PIERRE, GÉROME, TANGUY"       ,Male         ,min112@mail.com,612345678,1990-02-01,1000  ,99100,France  ,NOINTEL                   ,60840,23 BOURGE
ants-113,Min113,azerty,ELECTRIQUE                                 ,ELECTRIQUE                                 ,CABLE                                            ,Male         ,min113@mail.com,612345678,1980-06-01,31000 ,99100,France  ,LISBONNE                  ,31000,RUE DE LA FIBRE OPTIQUE
ants-201,Min201,azerty,DELORT                                     ,DELORT                                     ,Francis                                          ,Male         ,min201@mail.com,612345678,1973-01-01,75000 ,99100,France  ,AUBEPIERRE-OZOUER-LE-REPOS,75010,6 RUE PRINCIPALE
ants-202,Min202,azerty,GATINET                                    ,GATINET                                    ,Dominique                                        ,Male         ,min202@mail.com,612345678,1951-03-24,31000 ,99100,France  ,ISSY LES MOULINEAUX       ,92130,21 COURS SAINT VINCENT
ants-203,Min203,azerty,BALSAN                                     ,BALSAN                                     ,Marguerite                                       ,Male         ,min203@mail.com,612345678,1939-02-14,77720 ,99100,France  ,PARIS                     ,75007,1 RUE DU BAC
ants-204,Min204,azerty,CHAPLIN                                    ,CHAPLIN                                    ,"Heloise, Amelie"                                ,Female       ,min204@mail.com,612345678,1950-02-01,2880  ,99100,France  ,NICE                      ,6000 ,789 A PROMENADE DES ENGLISH
ants-205,Min205,azerty,THUROT                                     ,THUROT                                     ,"Baptiste, Bertrand"                             ,Male         ,min205@mail.com,612345678,2001-02-07,97200 ,99100,France  ,FORT-DE-FRANCE            ,97200,76 RUE DE LA PLACE
ants-206,Min206,azerty,UN INDEX DROIT CINQANTE JAUNE              ,UN INDEX DROIT CINQANTE JAUNE              ,Justin                                           ,Male         ,min206@mail.com,612345678,1974-06-07,75000 ,99100,France  ,NANCY                     ,54100,49 AVENUE DES CHAMPS
ants-207,Min207,azerty,TESTIFC usage DOIGTSDIFF                   ,TESTIFC usage DOIGTSDIFF                   ,Tanguy                                           ,Male         ,min207@mail.com,612345678,1974-06-07,75000 ,99100,France  ,NANCY                     ,54100,49 AVENUE DES CHAMPS
ants-208,Min208,azerty,TEXIER                                     ,TEXIER                                     ,"Patrick, Pierre, Louis"                         ,Male         ,min208@mail.com,612345678,1965-08-10,29200 ,99131,Belgique,BRUXELLES                 ,10000,2 AVENUE DE LA PAIX
ants-209,Min209,azerty,CON                                        ,CON                                        ,Cierge                                           ,Male         ,min209@mail.com,612345678,1980-06-01,19170 ,99100,France  ,TOULOUSE                  ,31000,RUE DES LYMBES
ants-210,Min210,azerty,TESTE                                      ,TESTE                                      ,Martin-Charles                                   ,Male         ,min210@mail.com,612345678,1989-02-12,19100 ,99100,France  ,PARIS                     ,75000,01 PLACE CONCORDE
ants-301,Min301,azerty,BEN ARFA                                   ,BEN ARFA                                   ,Tarek                                            ,Male         ,min301@mail.com,612345678,1993-01-04,99205 ,99205,France  ,NIMES                     ,30000,
ants-302,Min302,azerty,RED                                        ,RED                                        ,Rachel                                           ,Female       ,min302@mail.com,612345678,1954-05-01,99341 ,99341,France  ,NIMES                     ,30000,
ants-303,Min303,azerty,ABDELKADER                                 ,ABDELKADER                                 ,Monica                                           ,Female       ,min303@mail.com,612345678,1977-09-13,99350 ,99350,France  ,NIMES                     ,30000,
