id;identifiant;motDePasse;nomDeNaissance;nomDUsage;prenoms;genre;email;telephone;dateDeNaissance;codePostalLieuDeNaissance;codePaysDeNaissance;adressePays;adresseVille;adresseCodePostal;adresseVoie
1033;dgage;123;GAGE;;DominiqueDominiqueDominique;female;dominiquedominiquedominique.gage@yopmail.com;987654321;1975-07-10;;99352;Dz;ORAN;75000;15 rue clair
1034;jgloc;123;GLOC;;Jorge;male;jorge.gloc@yopmail.com;987654321;1979-07-06;69123;99100;;LYON - 4E - ARRONDISSEMENT;75000;16 rue clair
1035;alucas;123;LUCAS;;Adèle;male;adèle.lucas@yopmail.com;987654321;1961-12-17;14087;99100;;Bonnœil;75000;17 rue clair
1036;blucas;123;LUCAS;;Basille;female;basille.lucas@yopmail.com;987654321;1961-12-08;77337;99100;France;NOISIEL;75000;18 rue clair
1037;amineur;123;MINEUR;;Adeline;female;adeline.mineur@yopmail.com;987654321;2004-02-10;75056;99100;France;PARIS;75000;19 rue clair
1038;amineur2;123;MINEUR;;Adeline;female;adeline.mineur@yopmail.com;987654321;2004-02-10;75056;99100;;PARIS;75000;20 rue clair
1039;mmineur;123;MINEUR;NU-MINEUR;MARIE;male;marie.mineur@yopmail.com;987654321;2005-02-10;51454;99100;;REIMS;75000;21 rue clair
1040;aorlando;123;ORLANDO;;Adriano;female;adriano.orlando@yopmail.com;987654321; 2002-00-00;31555;99100;;Toulouse;75000;22 rue clair
1041;spaladin;123;PALADIN;;Sabine;female;sabine.paladin@yopmail.com;987654321;2000-03-08;31555;99100;France;TOULOUSE;75000;23 rue clair
1042;eprivat;123;PRIVAT;;Emmanuel;female;emmanuel.privat@yopmail.com;987654321;1994-07-14;01030;99100;France;BEAUREGARD;75000;24 rue clair
1043;asamuel02;123;SAMUEL;;Adèle;male;adèle.samuel@yopmail.com;987654321;1962-01-04;;99309;TANZANIE;;75000;25 rue clair
1044;nsamuel;123;SAMUEL;NU-SAMUEL;Najat;female;najat.samuel@yopmail.com;987654321;1989-12-00;77258;99100;;LOGNES;75000;26 rue clair
1045;asimon01;123;SIMON;;Adriano;female;adriano.simon@yopmail.com;987654321;2005-02-28;74119;99100;France;EVIAN;75000;27 rue clair
1046;asimon02;123;SIMON;;Adriano;female;adriano.simon@yopmail.com;987654321;2005-02-28;74119;99100;France;EVIAN;75000;28 rue clair
1047;mvarlet;123;VARLET;;Manon;female;manon.varlet@yopmail.com;987654321;2000-06-03;01004;99100;France;AMBERIEU EN BUGEY;75000;29 rue clair
1048;ejardin04;123;Jardin;NU-Jardin04;Eddy;female;eddy.jardin@yopmail.com;987654321;1976-00-00;24045;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1049;ncalvin-e1;123;CALVIN;;Najat;male;najat.calvin@yopmail.com;987654321;1961-03-00;67482;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1050;madam;123;ADAM;;MICHAL;female;michal.adam@yopmail.com;987654321;1961-12-14;69123;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1051;madam-e1;123;ADAM;;MICHAEL;male;michal.adam@yopmail.com;987654321;2000-12-14;69123;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1052;madam-e2;123;ADAM;;MICHAL;female;michal.adam@yopmail.com;987654321;1961-12-00;69123;99100;France;Toulouse;31400;1 avenue Jean Jaurès
