$oid,identifiant,password,nomDeNaissance,prenom   ,secondPrenom,titre,Gender,email,telephone,birthdate,AAAA,MM,JJ,departementDeNaissance,codeCommune,regionDeNaissance,codePaysDeNaissance,adresseFormatee,createdAt,updatedAt
5b3e1280c1eb6856db7362c4,sebastien_no_birthplace,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,TREIZE,SEBASTIEN,LAURENT,M,male,treize_sebastien@gmail.com,123456789,1977-09-02,1977,09,02,,225,95277,99100,57 RUE DU TEMPLE 75004 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c5,vincent_empty,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,,,,,,,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c6,barnard_not_string_family_name,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,!!!????,BARNARD,,M,male,quinze_barbard@gmail.com,123456789,1964-10-23,1964,10,23,48,95,95277,99100,99 RUE DE SÈVRES 75006 PARIS,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c8,francois_not_string_birthdate,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SEIZE,FRANCOIS,GERARD,M,male,seize_francois@gmail.com,123456789,!!!????,1950,01,06,48,92,95277,99100,10 PLACE CONSTANTIN BRANCUSI 75014 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c9,nina_not_string_gender,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DIXSEPT,NINA,JOSIANE,MME  ,??!!!!,dixsept_nina@gmail.com,123456789,1970-08-16,1970,08,16,25,56,95277,99100,Appartement A56 5 PLACE BERTONE 69004 LYON,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362ca,jean_not_string_email,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DIXHUIT,JEAN,ERIC,M,male,!!?????,123456789,1992-04-23,1992,04,23,47,8,95277,99100,120 BOULEVARD FRANÇOIS ROBERT 13016 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362cb,beatrice_not_object_address,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DIXNEUF,BEATRICE,SANDRINE,MME  ,female,dixneuf_beatrice@gmail.com,123456789,1968-05-22,1968,05,22,54,9,95277,,,,
5b3e1280c1eb6856db7362cc,grabrielle_not_string_phone,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGT,GABRIELLE,JANINE,MME  ,female,vingt_gabrielle@gmail.com,@�!!!!!!!!!!,1980-01-30,1980,01,30,37,58,95277,99100,17 AVENUE DU MERLAN 13014 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362cd,dahli_not_string_birthcountry,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTUN,DAHLI,SIERRA,MME  ,female,vingtun_dahli@gmail.com,123456789,1989-11-09,1989,11,09,51,32,95277,?????!!!!_-₋,14 RUE NATIONALE 13001 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362cf,marie_no_fd_dgfip,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTDEUX,MARIE,YVETTE,MME  ,female,vingtdeux_marie@gmail,123456789,1984-02-15,1984,02,15,46,42,95277,99100,43 RUE ABBÉ DE L'ÉPÉE 13005 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362d0,david_stranger_no_fd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTTROIS,DAVID,CLEMENT,M,male,vingttrois_david@gmail.com,123456789,1976-09-12,1976,09,12,,,,99350,100 BOULEVARD BAILLE 13005 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362d1,fella_stranger_no_birthplace_no_fd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTQUATRE,FELLA,BAILEY,M,male,vingtquatre_fella@mail.com,123456789,1960-03-04,1960,03,04,,,,99350,57 RUE DU TEMPLE 75004 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362d2,emmry_stranger_presume_jour,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTCINQ,EMMRY,,M,male,vingtcinq_emmry@mail.com,123456789,1949-09-00,1949,09,00,,,,99134,98 RUE DE SÈVRES 75006 PARIS,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362d3,hugo_stranger_presume_mois_jour,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTSIX,HUGO,,M,male,vingtsix_hugo@mail.com,123456789,1954-00-00,1954,00,00,,,,99350,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1c102833de26e816b687,nadia_empty_but_email_and_given_name,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTSEPT,NADIA,, ,,vingtsept_nadia@mail.com,,,,,,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b4c9f1296a8137e380fcf00,frederique_stranger_null_birthplace_no_fd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,VINGTHUIT,FREDERIQUE,,MME  ,female,vingthuit_frederique@mail.com,123456789,1994-08-03,1994,08,03,,,,,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
